originator_address,loan_class,loan_count,volume_usd,share_of_originator_volume,period
pb1589kxggzm5sd82dzre47zpp9wjnr4fr229srtj,Unknown,169,6846504.51,0.8625289828727934,all_time
pb1589kxggzm5sd82dzre47zpp9wjnr4fr229srtj,HELOC/Property-Secured,80,554451.4400000001,0.06985030622517704,all_time
pb1589kxggzm5sd82dzre47zpp9wjnr4fr229srtj,Other,43,536753.5599999999,0.06762071090202947,all_time
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,Unknown,7,800043.02,1.0,all_time
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,Other,1,,0.0,all_time
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,HELOC/Property-Secured,4,,0.0,all_time
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,Unknown,11,513347.42,1.0,all_time
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,Other,6,,0.0,all_time
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,HELOC/Property-Secured,8,,0.0,all_time
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,Other,3,,,all_time
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,HELOC/Property-Secured,1,,,all_time
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,Unknown,4,,,all_time
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,Unknown,7,78551.72,1.0,all_time
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,Other,1,,0.0,all_time
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,HELOC/Property-Secured,1,,0.0,all_time
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,Unknown,210,5915932.87,0.8126531261020171,all_time
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,HELOC/Property-Secured,116,818780.76,0.11247334255268272,all_time
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,Other,66,545062.55,0.07487353134530024,all_time
pb17dclamw0hsw5julkcq2vmu5860t5y3m2ys6p9j,Unknown,3,66503.5,1.0,all_time
pb17dclamw0hsw5julkcq2vmu5860t5y3m2ys6p9j,HELOC/Property-Secured,1,,0.0,all_time
pb17e03lfm0sxjkf860l4n2j2h5yh4s9etq5l9laq,Unknown,136,6657611.04,0.8478695277060508,all_time
pb17e03lfm0sxjkf860l4n2j2h5yh4s9etq5l9laq,Other,49,979989.84,0.12480505661945794,all_time
pb17e03lfm0sxjkf860l4n2j2h5yh4s9etq5l9laq,HELOC/Property-Secured,78,214563.66,0.0273254156744912,all_time
pb17rdyxrasvgjj3pzlaf42vyeqfp4mnhtkmj0wpc,Unknown,25,1283415.85,0.9195928648528661,all_time
pb17rdyxrasvgjj3pzlaf42vyeqfp4mnhtkmj0wpc,HELOC/Property-Secured,7,112219.0,0.08040713514713393,all_time
pb17rdyxrasvgjj3pzlaf42vyeqfp4mnhtkmj0wpc,Other,10,,0.0,all_time
pb18ahv649kg2lfxs786zmpzepn0mhdrafk4fn7df,Unknown,38,7924484.0,0.7188738210382031,all_time
pb18ahv649kg2lfxs786zmpzepn0mhdrafk4fn7df,HELOC/Property-Secured,42,3098986.0,0.281126178961797,all_time
pb18yq9swqhpy3dln5ymsvy4h5p306e3pavje07cf,Unknown,6,373265.49,1.0,all_time
pb18yq9swqhpy3dln5ymsvy4h5p306e3pavje07cf,Other,2,0.0,0.0,all_time
pb18yq9swqhpy3dln5ymsvy4h5p306e3pavje07cf,HELOC/Property-Secured,2,,0.0,all_time
pb19lfletjfpj8fpdwdg48ddmqyl0u883smyrxlnp,HELOC/Property-Secured,1,,,all_time
pb1awn7unm6pv3rd9s0wzg4vje357dn3pn8ua530c,Unknown,822,24741208.63,0.8423794229050001,all_time
pb1awn7unm6pv3rd9s0wzg4vje357dn3pn8ua530c,HELOC/Property-Secured,449,2700347.59,0.09194042532541821,all_time
pb1awn7unm6pv3rd9s0wzg4vje357dn3pn8ua530c,Other,280,1929066.99,0.06568015176958175,all_time
pb1ctgq4kad8js2s7xs5m968zr6yxp00mq7z99n5l,Unknown,17,1018180.17,1.0,all_time
pb1ctgq4kad8js2s7xs5m968zr6yxp00mq7z99n5l,Other,6,,0.0,all_time
pb1ctgq4kad8js2s7xs5m968zr6yxp00mq7z99n5l,HELOC/Property-Secured,4,,0.0,all_time
pb1efe0u0aegxyjqagwp3er9nf2l72r4ea7zrwtqs,Unknown,7,114675.24,1.0,all_time
pb1efe0u0aegxyjqagwp3er9nf2l72r4ea7zrwtqs,HELOC/Property-Secured,6,,0.0,all_time
pb1ekud7fc3gl6c34c3xqyupqxt20r678rh3e9hxh,Unknown,37,1386330.94,0.9318668927188303,all_time
pb1ekud7fc3gl6c34c3xqyupqxt20r678rh3e9hxh,Other,12,101361.07999999999,0.06813310728116966,all_time
pb1ekud7fc3gl6c34c3xqyupqxt20r678rh3e9hxh,HELOC/Property-Secured,16,,0.0,all_time
pb1eswwhdnm9tfkl0jv9jeurzvlnsdq7k073mkx5z,Unknown,2,214611.25,1.0,all_time
pb1ezskr02qt7wyaaguq3wk0rgfjsvpwrrkufeh43,Other,1,159750.0,1.0,all_time
pb1fe4dczsg6xwzulr74zjzkf9rllsfnvr8pgxw7f,Unknown,6,647485.88,0.8098233425969138,all_time
pb1fe4dczsg6xwzulr74zjzkf9rllsfnvr8pgxw7f,HELOC/Property-Secured,7,125776.28,0.15731087060771945,all_time
pb1fe4dczsg6xwzulr74zjzkf9rllsfnvr8pgxw7f,Other,6,26277.5,0.032865786795366725,all_time
pb1fmxzuzx5c4ja50vu94nt0aessnuedzmppde8qr,Unknown,217,9044618.46,0.8501198962587403,all_time
pb1fmxzuzx5c4ja50vu94nt0aessnuedzmppde8qr,Other,94,798109.5900000001,0.07501575051004482,all_time
pb1fmxzuzx5c4ja50vu94nt0aessnuedzmppde8qr,HELOC/Property-Secured,115,796498.84,0.0748643532312149,all_time
pb1g7n9qcd7zzpafv0zx8u6gdqvj34aalqapygrks,Unknown,23,1107613.4,0.8349332698060024,all_time
pb1g7n9qcd7zzpafv0zx8u6gdqvj34aalqapygrks,HELOC/Property-Secured,22,156242.0,0.11777723521675472,all_time
pb1g7n9qcd7zzpafv0zx8u6gdqvj34aalqapygrks,Other,7,62733.73,0.047289494977242885,all_time
pb1gpkulw7lfs850speyf4f4yxtcdxx2punyr8ld3,Unknown,29,677932.76,0.8840391965002763,all_time
pb1gpkulw7lfs850speyf4f4yxtcdxx2punyr8ld3,Other,10,88925.5,0.11596080349972367,all_time
pb1gpkulw7lfs850speyf4f4yxtcdxx2punyr8ld3,HELOC/Property-Secured,14,,0.0,all_time
pb1h3cazsx4p6v3alf0ejuq68qge59k9r9pfrqzlr,Unknown,20,423911.8,0.44797098674450697,all_time
pb1h3cazsx4p6v3alf0ejuq68qge59k9r9pfrqzlr,HELOC/Property-Secured,15,406850.18,0.4299410315819948,all_time
pb1h3cazsx4p6v3alf0ejuq68qge59k9r9pfrqzlr,Other,6,115531.0,0.1220879816734982,all_time
pb1hq228xhdc9hfcav2z8xvyzpyejs2k0tfayrk2r,Unknown,9,593090.7999999999,1.0,all_time
pb1hq228xhdc9hfcav2z8xvyzpyejs2k0tfayrk2r,HELOC/Property-Secured,4,,0.0,all_time
pb1j5n8r23euphx7medsslqwhpyxsksh5ajtldcql,Other,1,78784.5,1.0,all_time
pb1j5n8r23euphx7medsslqwhpyxsksh5ajtldcql,Unknown,3,,0.0,all_time
pb1jns80rlj7qq5087s84sl68z5rsk5q3d6qq92pg,Unknown,9,980320.0,1.0,all_time
pb1jns80rlj7qq5087s84sl68z5rsk5q3d6qq92pg,Other,1,,0.0,all_time
pb1jns80rlj7qq5087s84sl68z5rsk5q3d6qq92pg,HELOC/Property-Secured,2,,0.0,all_time
pb1jxzl7tqrga090yz8sf0z0z76sxj6an3kcuwy6g,Unknown,12,479659.0,0.7159923095524554,all_time
pb1jxzl7tqrga090yz8sf0z0z76sxj6an3kcuwy6g,Other,5,148427.0,0.22155862921355024,all_time
pb1jxzl7tqrga090yz8sf0z0z76sxj6an3kcuwy6g,HELOC/Property-Secured,6,41836.0,0.06244906123399441,all_time
pb1k38pa6rgnepcs592n4mvr3hxucw8tslprcmlvk,Unknown,627,21862054.12,0.8624166488620923,all_time
