originator_address,loan_class,loan_count,volume_usd,share_of_originator_volume,period
pb1589kxggzm5sd82dzre47zpp9wjnr4fr229srtj,Other,17,536753.5599999999,0.14433871301594423,trailing_30d
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,Unknown,9,212139.26,1.0,trailing_30d
pb15dwvkq7kqcn2aq5j3hfq2hl6j7vf2jju95rr6l,HELOC/Property-Secured,2,,0.0,trailing_30d
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,Unknown,16,52569.11,1.0,trailing_30d
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,Other,1,,0.0,trailing_30d
pb15v4p3nnshcm6lrrmtr74adn82fdj6f44r7agus,HELOC/Property-Secured,6,,0.0,trailing_30d
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,HELOC/Property-Secured,1,,,trailing_30d
pb1677uewvnxxn2fawu9ryjfpraft08lfj2yx3t6n,Unknown,5,,,trailing_30d
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,HELOC/Property-Secured,1,,,trailing_30d
pb168te2ldecf4fz8fu0m8t4jqjmmm3rcw5fcn4e4,Unknown,6,,,trailing_30d
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,Unknown,203,1753014.94,0.5624301137210843,trailing_30d
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,HELOC/Property-Secured,80,818780.76,0.2626942563076136,trailing_30d
pb16j3hxhr0m56h9u9ptdtz2qpmtd7333f77h64m6,Other,27,545062.55,0.17487562997130204,trailing_30d
pb17dclamw0hsw5julkcq2vmu5860t5y3m2ys6p9j,Unknown,2,66503.5,1.0,trailing_30d
pb17dclamw0hsw5julkcq2vmu5860t5y3m2ys6p9j,HELOC/Property-Secured,1,,0.0,trailing_30d
pb17e03lfm0sxjkf860l4n2j2h5yh4s9etq5l9laq,Unknown,154,1650871.96,0.5801845745767664,trailing_30d
pb17e03lfm0sxjkf860l4n2j2h5yh4s9etq5l9laq,Other,21,979989.84,0.34440889553297244,trailing_30d
pb17e03lfm0sxjkf860l4n2j2h5yh4s9etq5l9laq,HELOC/Property-Secured,47,214563.66,0.07540652989026113,trailing_30d
pb17rdyxrasvgjj3pzlaf42vyeqfp4mnhtkmj0wpc,Unknown,27,221735.09,0.6639687808584708,trailing_30d
pb17rdyxrasvgjj3pzlaf42vyeqfp4mnhtkmj0wpc,HELOC/Property-Secured,6,112219.0,0.33603121914152934,trailing_30d
pb17rdyxrasvgjj3pzlaf42vyeqfp4mnhtkmj0wpc,Other,3,,0.0,trailing_30d
pb18ahv649kg2lfxs786zmpzepn0mhdrafk4fn7df,HELOC/Property-Secured,31,3098986.0,0.7065444689561334,trailing_30d
pb18ahv649kg2lfxs786zmpzepn0mhdrafk4fn7df,Unknown,35,1287130.0,0.2934555310438666,trailing_30d
pb18yq9swqhpy3dln5ymsvy4h5p306e3pavje07cf,Unknown,7,195366.3,1.0,trailing_30d
pb18yq9swqhpy3dln5ymsvy4h5p306e3pavje07cf,Other,2,0.0,0.0,trailing_30d
pb19lfletjfpj8fpdwdg48ddmqyl0u883smyrxlnp,Unknown,1,,,trailing_30d
pb1awn7unm6pv3rd9s0wzg4vje357dn3pn8ua530c,Unknown,878,6241395.59,0.5741426344859079,trailing_30d
pb1awn7unm6pv3rd9s0wzg4vje357dn3pn8ua530c,HELOC/Property-Secured,311,2700347.59,0.24840352722303125,trailing_30d
pb1awn7unm6pv3rd9s0wzg4vje357dn3pn8ua530c,Other,109,1929066.99,0.17745383829106087,trailing_30d
pb1ctgq4kad8js2s7xs5m968zr6yxp00mq7z99n5l,Unknown,21,288520.29,1.0,trailing_30d
pb1ctgq4kad8js2s7xs5m968zr6yxp00mq7z99n5l,Other,1,,0.0,trailing_30d
pb1ctgq4kad8js2s7xs5m968zr6yxp00mq7z99n5l,HELOC/Property-Secured,2,,0.0,trailing_30d
pb1efe0u0aegxyjqagwp3er9nf2l72r4ea7zrwtqs,HELOC/Property-Secured,5,,,trailing_30d
pb1efe0u0aegxyjqagwp3er9nf2l72r4ea7zrwtqs,Unknown,6,,,trailing_30d
pb1ekud7fc3gl6c34c3xqyupqxt20r678rh3e9hxh,Unknown,39,204419.15,0.6685165682555736,trailing_30d
pb1ekud7fc3gl6c34c3xqyupqxt20r678rh3e9hxh,Other,6,101361.07999999999,0.33148343174442635,trailing_30d
pb1ekud7fc3gl6c34c3xqyupqxt20r678rh3e9hxh,HELOC/Property-Secured,7,,0.0,trailing_30d
pb1eswwhdnm9tfkl0jv9jeurzvlnsdq7k073mkx5z,Unknown,2,214611.25,1.0,trailing_30d
